mes_planejado,ano_planejado,id_projeto,valor_custo,valor_receita
6,2023,1,69930.77777777778,78889.0
7,2023,1,69930.77777777778,78889.0
8,2023,1,69930.77777777778,78889.0
9,2023,1,69930.77777777778,78889.0
10,2023,1,69930.77777777778,78889.0
11,2023,1,69930.77777777778,78889.0
12,2023,1,69930.77777777778,78889.0
1,2024,1,69930.77777777778,78889.0
2,2024,1,69930.77777777778,78889.0
3,2024,1,69930.77777777778,78889.0
4,2024,1,69930.77777777778,78889.0
5,2024,1,69930.77777777778,78889.0
6,2024,1,69930.77777777778,78889.0
7,2024,1,69930.77777777778,78889.0
8,2024,1,69930.77777777778,78889.0
9,2024,1,69930.77777777778,78889.0
10,2024,1,69930.77777777778,78889.0
11,2024,1,69930.77777777778,78889.0
12,2024,1,69930.77777777778,78889.0
1,2025,1,69930.77777777778,78889.0
2,2025,1,69930.77777777778,78889.0
3,2025,1,69930.77777777778,78889.0
4,2025,1,69930.77777777778,78889.0
5,2025,1,69930.77777777778,78889.0
6,2025,1,69930.77777777778,78889.0
7,2025,1,69930.77777777778,78889.0
8,2025,1,69930.77777777778,78889.0
5,2023,2,63482.275862068964,80952.62068965517
6,2023,2,63482.275862068964,80952.62068965517
7,2023,2,63482.275862068964,80952.62068965517
8,2023,2,63482.275862068964,80952.62068965517
9,2023,2,63482.275862068964,80952.62068965517
10,2023,2,63482.275862068964,80952.62068965517
11,2023,2,63482.275862068964,80952.62068965517
12,2023,2,63482.275862068964,80952.62068965517
1,2024,2,63482.275862068964,80952.62068965517
2,2024,2,63482.275862068964,80952.62068965517
3,2024,2,63482.275862068964,80952.62068965517
4,2024,2,63482.275862068964,80952.62068965517
5,2024,2,63482.275862068964,80952.62068965517
6,2024,2,63482.275862068964,80952.62068965517
7,2024,2,63482.275862068964,80952.62068965517
8,2024,2,63482.275862068964,80952.62068965517
9,2024,2,63482.275862068964,80952.62068965517
10,2024,2,63482.275862068964,80952.62068965517
11,2024,2,63482.275862068964,80952.62068965517
12,2024,2,63482.275862068964,80952.62068965517
1,2025,2,63482.275862068964,80952.62068965517
2,2025,2,63482.275862068964,80952.62068965517
3,2025,2,63482.275862068964,80952.62068965517
4,2025,2,63482.275862068964,80952.62068965517
5,2025,2,63482.275862068964,80952.62068965517
6,2025,2,63482.275862068964,80952.62068965517
7,2025,2,63482.275862068964,80952.62068965517
8,2025,2,63482.275862068964,80952.62068965517
9,2025,2,63482.275862068964,80952.62068965517
3,2024,3,101080.52631578948,131343.1052631579
4,2024,3,101080.52631578948,131343.1052631579
5,2024,3,101080.52631578948,131343.1052631579
6,2024,3,101080.52631578948,131343.1052631579
7,2024,3,101080.52631578948,131343.1052631579
8,2024,3,101080.52631578948,131343.1052631579
9,2024,3,101080.52631578948,131343.1052631579
10,2024,3,101080.52631578948,131343.1052631579
11,2024,3,101080.52631578948,131343.1052631579
12,2024,3,101080.52631578948,131343.1052631579
1,2025,3,101080.52631578948,131343.1052631579
2,2025,3,101080.52631578948,131343.1052631579
3,2025,3,101080.52631578948,131343.1052631579
4,2025,3,101080.52631578948,131343.1052631579
5,2025,3,101080.52631578948,131343.1052631579
6,2025,3,101080.52631578948,131343.1052631579
7,2025,3,101080.52631578948,131343.1052631579
8,2025,3,101080.52631578948,131343.1052631579
9,2025,3,101080.52631578948,131343.1052631579
6,2024,4,215471.88888888888,262892.6666666667
