data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
17/09/2024,132,F3,55,2,6,HN,3.4,3,106.98
21/09/2024,686,F3,115,77,1,HN,7.83,2,5.48
05/09/2024,65,F3,239,70,4,HE,2.5,1,42.01
13/09/2024,19,F3,181,80,5,HE,7.26,4,43.39
26/09/2024,669,F3,153,57,7,HE,4.47,2,129.16
19/09/2024,613,F3,203,33,4,HE,2.44,2,51.76
03/09/2024,678,F3,174,26,1,HE,5.72,3,130.25
02/09/2024,462,F2,250,53,7,HE,6.19,3,56.92
05/09/2024,39,F3,205,87,6,HN,1.82,5,32.72
14/09/2024,873,F3,233,62,7,HE,3.28,5,98.81
26/09/2024,818,F3,40,28,3,HE,5.57,3,13.59
12/09/2024,539,F2,184,70,5,HE,1.77,1,107.67
22/09/2024,540,M1,180,87,3,HE,5.11,4,46.18
24/09/2024,507,F3,81,11,7,HE,5.21,1,79.3
18/09/2024,70,F3,121,97,4,HN,4.15,1,73.25
29/09/2024,568,M1,119,64,6,HN,3.26,1,24.78
19/09/2024,450,F3,48,6,1,HN,4.35,1,90.93
22/09/2024,169,F3,123,60,2,HN,2.92,4,19.76
10/09/2024,449,M1,143,90,7,HN,4.92,3,4.94
29/09/2024,720,F2,90,65,5,HN,6.34,4,78.5
16/09/2024,587,F2,143,29,4,HE,5.7,2,135.33
06/09/2024,469,F3,120,78,4,HE,4.63,2,76.88
26/09/2024,516,F3,27,26,2,HN,5.45,3,69.59
06/09/2024,252,F3,141,8,2,HN,4.78,4,44.93
17/09/2024,106,F3,153,56,4,HN,5.34,4,77.22
03/09/2024,282,F2,250,74,5,HE,5.7,1,114.74
25/09/2024,228,F2,231,65,5,HE,5.46,5,80.9
29/09/2024,565,F2,72,56,6,HN,2.28,5,72.54
10/09/2024,683,F2,223,63,1,HN,7.4,1,28.3
26/09/2024,817,F2,27,33,1,HE,3.65,4,44.3
23/09/2024,906,M1,219,57,2,HN,1.81,2,42.16
24/09/2024,167,M1,238,46,1,HN,4.32,4,136.23
03/09/2024,185,M1,68,27,7,HE,4.55,3,141.38
12/09/2024,685,F3,213,41,7,HN,6.92,1,53.29
24/09/2024,170,F2,136,60,7,HE,6.61,2,89.62
23/09/2024,195,F2,110,52,7,HE,6.34,5,101.61
