data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
07/12/2023,457,F3,213,14,3,HN,2.9,5,85.72
16/12/2023,856,F3,5,56,4,HN,3.76,4,113.12
23/12/2023,134,F3,60,52,1,HN,4.78,2,59.79
14/12/2023,575,F3,236,18,4,HN,2.53,3,66.07
11/12/2023,840,M1,24,6,5,HN,5.63,3,35.3
22/12/2023,210,F2,47,14,6,HE,2.6,1,9.54
15/12/2023,359,M1,189,2,1,HE,3.35,5,88.79
29/12/2023,382,F2,60,40,7,HE,7.62,4,21.03
20/12/2023,14,M1,203,94,3,HN,7.14,5,23.96
06/12/2023,853,F3,28,34,4,HN,4.9,1,24.96
03/12/2023,115,F2,182,67,4,HE,4.44,3,75.76
03/12/2023,419,F2,119,5,7,HE,1.34,2,49.48
17/12/2023,639,F2,13,86,1,HN,4.49,2,78.24
18/12/2023,867,M1,206,91,4,HN,4.96,5,117.96
08/12/2023,390,F3,217,6,4,HN,7.76,3,106.25
21/12/2023,209,F2,24,94,1,HN,1.88,2,99.86
27/12/2023,331,F2,108,63,6,HE,5.41,5,1.09
05/12/2023,125,M1,184,32,1,HN,3.38,1,137.11
10/12/2023,742,F2,131,83,4,HE,7.13,2,124.85
12/12/2023,326,M1,73,37,7,HE,3.34,3,38.06
03/12/2023,252,F2,128,9,3,HN,5.88,4,3.28
01/12/2023,111,F2,50,72,7,HE,7.45,1,4.28
04/12/2023,173,F3,82,74,4,HE,4.82,1,110.07
26/12/2023,418,F3,239,55,2,HE,7.89,2,72.07
04/12/2023,26,M1,180,64,4,HE,4.83,2,134.5
28/12/2023,343,F2,226,3,7,HN,1.42,5,52.96
03/12/2023,591,F2,79,60,2,HE,5.04,5,97.02
18/12/2023,671,F3,67,12,4,HE,6.41,3,3.87
21/12/2023,731,F2,201,56,4,HE,5.28,1,145.41
13/12/2023,64,M1,42,98,4,HE,5.84,5,116.81
17/12/2023,49,F3,249,72,1,HE,2.26,2,59.83
08/12/2023,597,F3,114,93,3,HN,4.55,2,12.15
01/12/2023,492,M1,115,17,2,HN,2.2,2,73.98
28/12/2023,662,F3,91,86,7,HE,7.37,5,118.16
18/12/2023,454,M1,177,22,5,HN,5.59,4,64.98
13/12/2023,191,M1,60,44,2,HE,3.53,5,100.1
27/12/2023,911,F2,101,63,6,HN,7.37,3,29.08
11/12/2023,521,F3,60,55,6,HE,2.52,1,9.41
02/12/2023,450,M1,49,64,5,HN,4.52,1,8.49
04/12/2023,724,F3,225,32,1,HE,2.12,1,57.16
18/12/2023,954,F3,61,39,3,HE,1.11,3,45.18
20/12/2023,267,F3,115,16,1,HN,3.73,5,66.37
25/12/2023,690,F3,113,92,7,HN,1.23,1,138.73
20/12/2023,888,F2,12,72,5,HN,4.91,3,137.93
10/12/2023,656,F2,241,78,6,HE,7.93,5,42.94
10/12/2023,266,F2,181,90,3,HN,1.93,4,83.8
02/12/2023,436,M1,249,89,2,HN,2.43,3,86.19
27/12/2023,817,M1,68,16,2,HE,7.61,3,137.29
20/12/2023,699,F2,234,41,7,HN,1.75,2,97.89
08/12/2023,846,F3,205,62,6,HN,7.39,1,95.66
02/12/2023,6,F3,114,67,6,HE,7.22,2,83.71
20/12/2023,878,M1,248,29,2,HN,3.82,4,63.95
01/12/2023,7,F3,59,68,6,HN,5.86,4,102.39
23/12/2023,296,F3,156,24,6,HE,5.15,3,59.42
17/12/2023,366,F3,18,70,3,HE,4.84,4,45.09
09/12/2023,300,M1,217,63,3,HN,6.12,5,5.98
02/12/2023,346,M1,60,54,7,HE,4.66,3,120.05
04/12/2023,934,M1,67,78,5,HE,2.17,4,20.15
15/12/2023,715,M1,245,52,1,HE,7.98,3,61.32
19/12/2023,691,F3,161,53,2,HE,3.74,5,25.0
27/12/2023,17,F2,67,62,7,HN,4.83,5,68.4
06/12/2023,345,M1,225,68,4,HN,1.62,3,53.63
26/12/2023,292,F2,200,74,3,HE,3.11,3,10.84
05/12/2023,843,F3,179,23,2,HN,7.53,1,133.94
07/12/2023,281,F3,126,1,7,HE,2.16,4,121.57
17/12/2023,460,F3,124,100,3,HE,3.2,1,129.38
19/12/2023,516,F2,183,86,6,HE,6.04,4,129.64
22/12/2023,851,F3,187,47,7,HE,2.95,4,141.52
06/12/2023,354,F3,52,64,6,HN,1.92,2,142.85
29/12/2023,248,M1,2,32,4,HE,5.65,1,21.4
10/12/2023,895,F2,203,8,7,HE,1.64,1,74.71
19/12/2023,200,M1,159,18,7,HE,1.91,2,149.17
01/12/2023,710,M1,87,95,2,HE,6.78,2,1.88
23/12/2023,807,F2,199,70,1,HN,7.7,5,94.46
05/12/2023,77,F3,235,52,2,HN,5.94,2,140.64
03/12/2023,677,F3,158,42,1,HN,1.67,1,8.67
11/12/2023,587,F3,72,46,7,HE,7.37,3,27.69
10/12/2023,193,F2,241,85,7,HE,4.2,1,7.1
17/12/2023,641,M1,11,93,1,HE,5.41,1,108.58
25/12/2023,629,F3,1,6,6,HE,5.34,5,86.97
25/12/2023,737,M1,16,92,7,HE,4.31,3,48.6
29/12/2023,462,M1,232,94,4,HE,7.49,3,90.07
04/12/2023,705,M1,133,91,2,HN,3.1,4,49.35
10/12/2023,915,F2,224,9,2,HN,6.56,4,109.1
28/12/2023,532,M1,143,36,1,HN,6.4,3,32.08
29/12/2023,743,F3,20,34,7,HE,1.34,3,108.63
22/12/2023,928,M1,11,43,3,HN,4.24,5,111.32
02/12/2023,773,M1,199,85,5,HE,3.67,2,90.37
29/12/2023,534,M1,159,29,7,HN,2.82,5,121.86
28/12/2023,442,F3,84,22,2,HE,3.02,1,65.6
25/12/2023,959,M1,169,36,4,HN,3.63,1,100.74
08/12/2023,936,F3,164,27,3,HE,7.59,1,111.7
08/12/2023,794,M1,80,82,5,HN,4.53,3,43.83
11/12/2023,459,F2,208,95,3,HN,5.6,2,118.52
19/12/2023,453,F3,58,77,3,HE,7.73,5,110.54
09/12/2023,2,M1,136,52,4,HN,6.74,2,19.9
22/12/2023,564,M1,102,59,2,HN,5.11,3,17.97
10/12/2023,390,F3,35,92,5,HN,2.3,4,113.69
24/12/2023,514,M1,191,67,7,HN,3.84,1,36.62
07/12/2023,779,F2,245,33,1,HN,6.08,4,114.93
26/12/2023,447,F3,226,17,1,HN,6.96,4,112.35
28/12/2023,551,F3,108,2,6,HE,3.04,3,119.01
07/12/2023,762,F2,64,75,3,HN,4.53,1,81.38
21/12/2023,210,M1,243,2,7,HE,2.44,1,65.85
23/12/2023,549,F2,30,44,4,HE,6.08,2,104.58
11/12/2023,692,F3,226,92,1,HE,3.86,5,34.62
22/12/2023,331,F3,65,83,1,HE,1.98,4,94.64
05/12/2023,32,M1,26,18,5,HN,5.07,4,80.2
18/12/2023,657,M1,90,14,1,HE,3.64,2,29.66
02/12/2023,164,F3,5,32,7,HN,7.31,3,6.11
09/12/2023,504,M1,71,61,7,HN,2.12,4,54.66
15/12/2023,806,M1,233,9,6,HN,7.08,1,126.06
18/12/2023,849,M1,189,48,1,HN,7.01,1,2.02
20/12/2023,640,M1,141,58,3,HE,4.81,3,31.15
10/12/2023,16,M1,227,42,2,HN,4.36,3,94.09
18/12/2023,61,M1,10,38,3,HN,1.01,3,3.35
02/12/2023,674,F2,164,28,7,HN,5.53,5,137.5
02/12/2023,300,M1,188,99,3,HE,3.93,1,21.47
18/12/2023,377,F3,219,54,1,HE,1.08,5,66.47
18/12/2023,527,F3,98,50,2,HN,7.54,2,46.29
29/12/2023,266,F3,24,49,4,HN,4.85,3,26.86
28/12/2023,880,F3,164,46,2,HN,5.71,3,24.88
02/12/2023,829,F3,135,69,6,HE,2.65,1,138.81
19/12/2023,267,F3,38,18,5,HN,1.18,2,55.21
12/12/2023,271,F3,173,48,7,HE,6.23,3,26.68
11/12/2023,233,M1,47,62,1,HE,6.22,1,31.66
12/12/2023,568,F3,180,71,6,HE,4.33,1,135.88
28/12/2023,315,M1,193,4,7,HE,5.3,2,8.77
27/12/2023,740,F3,76,6,5,HE,6.15,2,35.76
08/12/2023,9,F3,225,28,2,HE,2.14,3,22.65
08/12/2023,233,F2,24,41,2,HN,4.57,4,12.93
18/12/2023,128,M1,82,17,5,HE,3.75,2,123.35
20/12/2023,825,M1,220,46,2,HE,4.97,1,2.35
20/12/2023,949,F2,97,27,3,HE,3.86,2,72.29
15/12/2023,597,F3,114,88,3,HE,3.73,5,127.74
09/12/2023,550,F2,96,94,3,HN,1.29,2,147.54
12/12/2023,607,F3,241,60,2,HN,1.29,5,140.59
13/12/2023,359,F3,153,67,1,HE,3.86,2,145.74
17/12/2023,568,F3,227,94,5,HN,4.98,1,119.72
05/12/2023,657,F3,188,39,3,HN,3.89,4,52.25
01/12/2023,738,M1,192,59,3,HE,3.41,3,16.09
10/12/2023,790,M1,62,38,2,HE,2.54,5,86.44
20/12/2023,490,F3,150,97,3,HN,5.96,4,88.26
12/12/2023,226,F2,125,46,1,HN,6.87,4,31.78
26/12/2023,499,F3,10,59,5,HN,5.09,2,57.76
01/12/2023,197,F2,90,98,3,HE,2.99,4,145.25
10/12/2023,21,M1,76,36,5,HN,2.66,3,127.84
15/12/2023,396,M1,141,22,2,HE,6.6,1,69.25
29/12/2023,188,F3,219,88,7,HN,6.73,4,24.54
