data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
11/04/2023,663,F2,104,37,6,HE,3.29,5,17.79
13/04/2023,69,F3,14,33,5,HE,5.46,2,57.51
12/04/2023,836,M1,247,50,5,HE,3.53,5,75.57
09/04/2023,345,M1,137,72,5,HN,2.3,5,23.04
15/04/2023,40,F3,235,85,7,HN,3.45,1,86.89
19/04/2023,200,F3,123,34,1,HN,5.41,5,3.19
09/04/2023,551,M1,196,69,1,HE,1.41,5,104.78
02/04/2023,317,F3,26,82,1,HN,6.56,1,39.65
27/04/2023,498,F3,223,18,5,HN,4.95,5,71.09
09/04/2023,779,F3,80,92,5,HE,7.33,2,144.78
03/04/2023,689,M1,18,41,2,HE,6.66,1,104.87
01/04/2023,719,F2,148,46,2,HN,4.13,3,120.71
27/04/2023,528,M1,227,62,7,HE,7.38,2,128.42
28/04/2023,540,F2,74,32,3,HN,2.65,3,126.19
19/04/2023,131,F2,86,100,5,HN,1.46,1,118.33
07/04/2023,804,F2,229,7,1,HE,1.8,5,110.62
20/04/2023,260,F2,13,25,7,HE,3.54,4,112.38
11/04/2023,633,M1,67,88,2,HE,1.19,2,138.32
12/04/2023,685,M1,159,96,3,HE,2.84,5,15.9
19/04/2023,230,F3,202,24,1,HN,2.66,1,32.6
22/04/2023,500,M1,208,16,6,HN,3.66,3,91.96
10/04/2023,953,F3,14,40,3,HE,2.0,5,134.79
07/04/2023,184,F2,76,100,7,HN,3.67,2,39.85
16/04/2023,933,F2,137,29,2,HN,7.77,3,129.85
15/04/2023,136,M1,246,31,1,HN,4.35,5,123.46
05/04/2023,176,M1,12,49,1,HN,2.8,1,90.02
27/04/2023,539,F3,17,29,4,HN,5.67,1,79.22
11/04/2023,548,M1,21,66,2,HE,5.74,5,46.88
24/04/2023,930,F3,111,29,7,HN,5.03,1,81.81
16/04/2023,42,F2,179,10,5,HE,4.07,1,140.43
23/04/2023,715,M1,28,76,6,HN,1.61,1,93.21
18/04/2023,346,M1,34,89,2,HN,7.72,4,37.45
18/04/2023,890,F2,31,7,2,HN,5.26,5,109.18
11/04/2023,581,F2,231,13,4,HE,1.76,4,144.38
29/04/2023,833,F2,133,28,3,HE,7.61,5,148.6
14/04/2023,605,F3,44,89,2,HN,7.11,1,97.59
09/04/2023,935,F2,91,47,6,HN,2.96,3,104.8
19/04/2023,860,F2,39,22,3,HN,2.02,1,101.45
20/04/2023,343,M1,227,27,5,HN,1.56,2,73.6
01/04/2023,721,F2,25,63,3,HN,4.46,4,86.66
08/04/2023,470,M1,142,90,5,HE,1.87,3,10.82
12/04/2023,407,F2,132,61,6,HE,4.83,2,34.52
12/04/2023,13,M1,113,31,4,HE,7.8,4,149.73
20/04/2023,82,F2,161,68,7,HE,5.7,1,7.07
08/04/2023,854,F3,191,79,7,HE,3.01,1,81.43
29/04/2023,171,F2,103,77,6,HE,4.79,2,134.58
24/04/2023,199,F2,94,60,2,HE,1.58,2,81.49
21/04/2023,749,F2,132,100,2,HN,7.37,2,7.19
25/04/2023,555,F2,44,89,5,HN,3.43,3,80.48
11/04/2023,332,F3,187,22,5,HE,7.75,2,116.93
18/04/2023,427,M1,90,93,5,HE,2.22,3,29.0
21/04/2023,307,F3,110,56,2,HE,6.37,2,138.78
28/04/2023,312,F2,60,16,5,HN,5.15,2,38.89
04/04/2023,785,F2,65,24,2,HN,5.12,1,81.79
26/04/2023,903,M1,238,45,5,HE,4.53,3,59.98
09/04/2023,449,F3,207,53,1,HN,3.69,4,45.41
02/04/2023,134,M1,70,39,6,HE,2.91,3,66.99
01/04/2023,89,F2,141,65,3,HE,4.68,2,143.58
26/04/2023,958,F2,218,39,1,HE,2.01,4,65.48
22/04/2023,938,F2,128,3,2,HE,2.4,3,64.43
20/04/2023,392,M1,194,5,3,HN,4.57,3,28.27
23/04/2023,268,M1,39,58,7,HN,6.86,2,82.42
02/04/2023,196,M1,161,10,6,HN,3.61,5,82.43
25/04/2023,215,F3,180,13,5,HE,6.25,2,138.91
10/04/2023,806,F2,72,14,4,HE,5.92,5,101.21
11/04/2023,113,M1,90,70,5,HE,7.54,4,35.03
08/04/2023,596,F2,12,88,3,HE,5.96,1,68.87
28/04/2023,349,F2,175,75,6,HE,1.91,4,129.22
04/04/2023,595,F3,164,29,7,HE,6.44,3,107.97
25/04/2023,766,F2,219,18,4,HE,5.57,4,101.1
20/04/2023,266,F2,169,15,1,HE,1.79,1,59.63
08/04/2023,262,F3,23,1,3,HE,8.0,5,16.0
27/04/2023,384,M1,232,59,4,HE,6.41,3,83.09
23/04/2023,210,F3,129,1,1,HN,3.84,2,43.18
15/04/2023,318,F3,104,9,5,HE,6.08,5,64.35
29/04/2023,847,F3,185,3,4,HN,1.76,5,135.96
19/04/2023,845,F2,102,58,2,HN,1.93,1,141.29
06/04/2023,106,M1,191,31,1,HE,7.13,5,143.41
20/04/2023,784,F2,65,17,3,HE,2.4,2,18.89
09/04/2023,571,M1,69,83,4,HN,1.29,4,134.08
24/04/2023,468,F2,56,52,3,HE,6.27,4,147.08
22/04/2023,446,F2,91,36,7,HN,4.31,5,71.01
18/04/2023,826,F2,67,98,4,HE,7.24,1,44.39
01/04/2023,589,M1,186,17,5,HE,7.87,1,64.83
27/04/2023,910,F3,11,63,5,HN,6.81,4,17.56
08/04/2023,745,M1,235,32,3,HE,4.02,4,57.43
17/04/2023,703,F2,220,28,3,HN,3.18,2,114.81
18/04/2023,201,M1,131,64,7,HE,2.47,5,114.75
