data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
07/06/2023,236,M1,106,36,2,HN,1.57,5,26.85
04/06/2023,490,F3,81,25,3,HN,6.86,5,148.29
13/06/2023,162,M1,2,25,4,HN,6.02,2,90.08
08/06/2023,919,M1,125,53,5,HN,5.82,3,99.07
18/06/2023,351,F3,127,50,7,HE,3.4,5,118.75
24/06/2023,882,F3,228,15,4,HN,5.78,4,8.98
09/06/2023,23,F2,202,86,4,HE,6.15,2,135.92
22/06/2023,361,M1,67,59,4,HE,5.97,5,136.16
08/06/2023,196,F2,31,8,4,HN,5.12,2,35.15
22/06/2023,792,F3,249,7,7,HN,4.94,5,136.02
06/06/2023,819,F2,75,26,6,HE,1.36,1,90.89
20/06/2023,879,F2,156,30,2,HN,1.52,3,146.86
21/06/2023,767,F2,88,53,1,HE,2.84,1,143.28
01/06/2023,46,F2,201,24,1,HE,3.69,3,138.95
01/06/2023,833,M1,170,30,1,HN,1.08,2,46.92
05/06/2023,431,F3,14,14,5,HE,2.31,5,33.19
25/06/2023,713,F3,136,6,4,HE,1.27,5,55.92
14/06/2023,818,F2,245,39,3,HN,4.72,4,76.3
14/06/2023,380,F2,230,6,2,HE,7.81,2,98.96
08/06/2023,214,M1,178,10,4,HN,1.45,4,40.13
28/06/2023,503,F3,134,10,6,HE,6.5,2,139.85
08/06/2023,350,F3,217,32,4,HE,3.45,1,103.47
22/06/2023,806,F3,238,24,6,HN,1.47,3,4.98
15/06/2023,72,M1,112,51,1,HE,3.02,2,41.42
26/06/2023,224,M1,55,11,2,HN,3.97,2,132.83
20/06/2023,671,F2,212,65,5,HN,1.77,5,89.75
24/06/2023,772,F3,42,61,6,HN,1.91,4,84.75
22/06/2023,765,M1,220,84,2,HE,5.62,4,10.48
03/06/2023,765,F2,128,84,1,HE,5.43,1,116.63
29/06/2023,107,M1,236,39,1,HN,3.24,3,81.83
23/06/2023,778,F3,212,49,1,HE,7.91,1,116.23
02/06/2023,904,F2,133,70,4,HN,3.55,5,14.57
13/06/2023,695,F2,72,87,3,HE,7.66,3,57.86
01/06/2023,20,M1,66,84,5,HN,5.88,4,142.59
12/06/2023,829,F2,89,4,5,HE,5.54,2,68.34
17/06/2023,240,M1,31,51,3,HE,4.11,4,139.0
13/06/2023,63,F3,200,69,2,HN,3.64,5,102.43
08/06/2023,26,M1,98,19,1,HN,5.67,5,64.41
21/06/2023,809,F2,210,72,1,HE,3.96,4,102.23
26/06/2023,215,M1,20,33,7,HE,7.81,3,54.64
02/06/2023,227,F3,170,32,4,HE,4.98,5,57.74
20/06/2023,667,F3,80,72,1,HN,4.16,1,147.13
17/06/2023,510,M1,54,38,2,HN,1.65,4,88.22
29/06/2023,119,F2,39,90,6,HN,5.06,2,101.78
12/06/2023,283,M1,232,29,3,HE,4.08,3,62.35
23/06/2023,185,F2,128,18,7,HN,6.54,4,59.02
15/06/2023,567,F3,125,72,1,HE,7.91,3,148.06
09/06/2023,676,F3,223,45,1,HN,2.99,2,145.52
10/06/2023,628,F2,17,25,4,HE,6.54,1,92.54
27/06/2023,756,M1,6,68,1,HN,3.59,3,31.62
20/06/2023,676,F3,2,88,6,HE,5.5,1,106.59
29/06/2023,615,F2,188,91,3,HN,2.47,1,73.79
11/06/2023,221,F3,124,22,2,HE,5.81,4,72.69
12/06/2023,916,F2,177,73,1,HN,2.48,5,91.35
10/06/2023,721,M1,249,12,2,HE,1.69,2,10.85
26/06/2023,766,F3,103,65,7,HE,3.51,5,117.82
19/06/2023,366,F3,63,9,4,HN,1.35,5,78.96
16/06/2023,40,F2,180,56,6,HN,4.71,3,146.03
14/06/2023,522,F3,94,73,1,HN,1.89,3,10.83
15/06/2023,808,M1,203,52,5,HE,2.53,5,117.66
04/06/2023,932,F2,145,72,5,HE,5.75,1,75.95
05/06/2023,560,F2,94,11,3,HE,7.79,5,70.64
14/06/2023,323,F2,166,96,7,HE,6.19,2,76.03
21/06/2023,925,F3,9,28,7,HE,1.89,1,17.79
26/06/2023,11,F2,118,6,5,HN,6.53,3,105.71
18/06/2023,741,F2,78,17,5,HE,5.39,2,129.14
17/06/2023,137,M1,179,19,7,HE,1.05,2,101.09
11/06/2023,302,F2,84,21,1,HE,1.28,3,47.56
26/06/2023,352,M1,95,36,3,HE,6.22,2,66.35
12/06/2023,200,M1,202,42,6,HE,6.49,4,43.26
23/06/2023,838,F3,136,53,3,HE,7.57,3,49.49
09/06/2023,408,M1,181,92,7,HN,1.45,4,133.89
01/06/2023,354,M1,191,68,7,HN,1.12,2,7.24
16/06/2023,5,F2,184,22,5,HN,4.04,4,72.91
27/06/2023,431,M1,29,18,5,HN,4.91,2,106.4
23/06/2023,254,F3,52,2,5,HE,5.51,4,8.95
23/06/2023,26,M1,118,27,7,HE,3.35,3,91.83
22/06/2023,61,M1,249,30,5,HN,1.32,5,84.57
27/06/2023,243,M1,243,85,4,HN,4.63,2,16.82
10/06/2023,821,F3,129,49,5,HN,2.18,2,92.45
18/06/2023,435,M1,67,34,2,HE,6.25,2,51.02
19/06/2023,27,F3,126,76,4,HE,4.38,5,31.45
04/06/2023,800,F2,212,74,3,HN,3.53,2,108.12
16/06/2023,511,F3,20,5,6,HE,1.86,3,33.78
16/06/2023,809,F2,120,98,7,HE,2.83,2,84.74
07/06/2023,568,F2,118,9,2,HE,6.57,5,109.32
13/06/2023,959,F2,33,31,5,HE,1.35,5,99.09
19/06/2023,930,M1,194,61,3,HN,5.35,4,132.18
