data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
17/03/2023,215,M1,48,86,4,HE,2.09,1,45.28
17/03/2023,850,M1,62,97,2,HE,1.18,1,48.14
08/03/2023,426,F2,146,48,1,HN,6.45,1,122.52
20/03/2023,656,F3,85,1,2,HE,2.16,4,144.86
04/03/2023,713,M1,41,42,5,HN,3.15,4,87.88
22/03/2023,764,F3,174,45,6,HE,1.01,4,56.01
13/03/2023,911,F2,109,2,7,HE,7.27,4,110.61
25/03/2023,826,F2,223,27,1,HE,6.79,1,139.88
03/03/2023,592,F3,174,19,5,HN,2.91,1,133.31
05/03/2023,680,F2,70,58,3,HN,4.84,5,7.37
02/03/2023,38,F2,144,96,6,HN,5.82,1,105.75
12/03/2023,769,F2,247,92,4,HE,3.68,2,111.93
29/03/2023,208,M1,236,63,2,HE,4.33,3,100.94
05/03/2023,107,M1,102,68,4,HE,7.69,1,122.37
13/03/2023,253,F2,8,31,5,HE,3.2,2,57.18
18/03/2023,378,M1,84,67,2,HE,4.91,2,41.13
03/03/2023,483,M1,42,47,7,HN,5.48,3,115.88
21/03/2023,256,F3,236,67,6,HN,6.54,4,8.21
01/03/2023,270,F2,142,72,1,HN,6.36,4,74.73
27/03/2023,306,F2,198,16,4,HN,6.13,1,13.28
08/03/2023,617,F3,149,22,3,HE,2.37,5,149.5
08/03/2023,577,F3,21,57,4,HN,6.35,1,66.39
25/03/2023,542,M1,137,67,6,HN,2.8,3,119.92
28/03/2023,324,F3,3,41,3,HN,5.4,3,76.2
02/03/2023,754,F2,66,84,1,HE,2.12,1,38.42
28/03/2023,503,F3,81,99,3,HN,3.23,2,103.6
26/03/2023,251,F2,20,87,1,HN,2.58,3,36.64
02/03/2023,100,F3,127,45,6,HE,3.21,5,106.8
25/03/2023,920,F3,87,11,7,HE,7.17,3,97.87
05/03/2023,291,F2,248,35,3,HN,6.59,1,134.68
15/03/2023,41,F3,217,51,7,HN,6.72,3,78.91
19/03/2023,756,M1,201,25,6,HE,5.98,4,135.32
16/03/2023,359,F3,89,57,4,HN,1.13,4,118.73
21/03/2023,866,F2,75,65,6,HN,2.14,2,102.36
17/03/2023,222,M1,121,51,3,HE,2.49,3,58.27
18/03/2023,389,M1,219,40,7,HN,5.58,1,15.54
11/03/2023,736,F2,25,9,2,HE,6.43,1,115.43
06/03/2023,789,F2,59,56,7,HN,2.31,2,123.92
03/03/2023,685,M1,87,73,7,HN,1.42,3,33.84
06/03/2023,369,F3,186,30,7,HE,6.31,1,31.25
01/03/2023,637,F2,29,7,7,HN,7.8,3,85.72
13/03/2023,433,M1,177,87,4,HE,5.62,2,32.86
27/03/2023,298,F2,233,87,2,HE,5.49,4,30.22
11/03/2023,534,F3,222,71,4,HN,7.06,4,96.0
20/03/2023,395,F3,196,87,6,HN,2.86,3,73.94
16/03/2023,736,F3,54,4,7,HE,6.56,2,142.14
18/03/2023,214,F2,61,58,3,HE,6.24,5,90.57
18/03/2023,132,F2,190,46,2,HN,4.55,5,114.49
06/03/2023,552,F3,96,85,2,HE,2.01,5,31.57
27/03/2023,850,F3,27,93,3,HN,4.6,4,5.71
19/03/2023,338,F3,90,33,1,HN,1.85,3,112.08
26/03/2023,215,M1,27,75,5,HE,3.92,5,74.49
16/03/2023,308,M1,222,93,4,HN,1.13,5,75.1
26/03/2023,747,F2,213,46,1,HN,2.96,3,72.68
22/03/2023,600,F3,46,12,3,HE,6.7,2,55.58
12/03/2023,241,F2,158,36,4,HE,7.53,3,139.98
