data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
25/04/2024,594,M1,80,73,3,HE,6.36,2,37.98
04/04/2024,410,F2,83,87,5,HN,3.86,5,7.53
01/04/2024,111,F2,80,1,5,HE,5.14,1,67.71
01/04/2024,181,M1,47,86,7,HN,5.23,5,29.47
08/04/2024,278,M1,95,63,5,HE,6.32,3,68.84
14/04/2024,682,M1,68,88,6,HE,6.0,2,56.67
17/04/2024,756,F2,243,63,7,HN,6.4,1,124.28
06/04/2024,313,F2,15,15,2,HE,7.58,5,101.26
16/04/2024,522,F3,78,75,4,HN,2.31,1,87.4
14/04/2024,253,F2,226,38,3,HE,7.76,1,88.36
12/04/2024,479,F3,194,90,3,HE,6.79,1,30.5
25/04/2024,668,M1,214,76,6,HN,6.49,1,102.58
21/04/2024,333,F2,165,96,2,HE,7.15,3,99.44
29/04/2024,849,F3,192,40,6,HN,3.0,2,92.47
12/04/2024,682,F2,3,15,1,HN,6.51,4,133.1
26/04/2024,679,M1,154,23,6,HN,1.55,4,47.0
17/04/2024,697,M1,157,53,1,HE,5.61,5,6.64
04/04/2024,374,F3,31,88,6,HN,6.38,3,3.43
12/04/2024,385,F2,28,66,4,HE,4.59,2,64.8
24/04/2024,260,F3,210,85,3,HN,1.7,5,84.65
04/04/2024,519,F3,178,91,6,HE,4.0,2,66.97
07/04/2024,312,F3,76,45,7,HN,3.45,1,33.4
08/04/2024,647,F3,157,13,2,HN,3.33,2,116.9
22/04/2024,932,F2,32,24,2,HE,4.86,1,44.93
27/04/2024,375,M1,44,34,2,HN,6.28,4,33.38
02/04/2024,247,M1,28,21,7,HN,2.51,5,133.37
06/04/2024,529,F3,223,93,6,HE,6.95,1,37.62
28/04/2024,128,F2,91,79,6,HE,1.09,5,41.03
21/04/2024,122,M1,157,98,7,HN,3.84,3,64.91
10/04/2024,5,F2,50,42,6,HE,7.15,1,84.22
13/04/2024,622,M1,77,80,4,HE,7.79,4,58.32
07/04/2024,117,M1,72,86,7,HN,2.37,3,68.76
26/04/2024,573,M1,107,8,2,HE,6.95,2,101.86
13/04/2024,835,F2,18,61,2,HN,1.35,3,111.14
16/04/2024,148,F3,208,16,6,HE,5.02,5,48.89
24/04/2024,293,M1,23,63,7,HN,1.44,2,86.2
12/04/2024,400,M1,103,9,1,HN,3.85,3,61.46
03/04/2024,631,F3,109,51,1,HE,3.86,2,86.73
01/04/2024,441,M1,158,37,2,HN,2.33,4,126.95
26/04/2024,892,F3,64,29,7,HE,7.05,5,52.18
01/04/2024,143,F2,107,21,2,HN,3.37,5,130.77
28/04/2024,444,F2,120,39,6,HN,3.36,4,135.3
20/04/2024,876,F3,78,95,5,HE,7.95,3,80.94
21/04/2024,306,M1,85,28,7,HN,3.27,4,52.55
10/04/2024,757,F2,169,48,2,HN,3.11,2,21.83
01/04/2024,765,F3,248,55,4,HE,1.92,3,67.42
27/04/2024,649,F3,185,44,2,HE,6.2,1,58.15
04/04/2024,357,F2,137,8,2,HN,4.04,3,28.21
01/04/2024,565,F3,194,49,3,HE,6.6,5,89.21
09/04/2024,524,F3,196,6,1,HN,4.73,4,72.43
09/04/2024,736,F2,98,32,3,HN,5.64,5,22.01
14/04/2024,172,F2,20,84,3,HE,2.77,3,80.71
24/04/2024,902,F2,235,66,1,HN,3.7,2,115.99
28/04/2024,478,M1,156,74,3,HN,1.06,1,18.69
10/04/2024,482,M1,136,93,3,HE,6.04,2,87.29
29/04/2024,729,M1,124,99,4,HN,7.91,3,141.46
05/04/2024,714,F2,2,37,5,HN,2.66,3,131.38
11/04/2024,828,F3,6,81,2,HE,5.06,1,122.38
28/04/2024,489,F2,211,84,2,HN,6.31,4,8.96
24/04/2024,415,F3,20,74,1,HN,7.01,5,144.11
20/04/2024,669,F3,136,92,2,HN,3.27,4,12.63
02/04/2024,947,F2,56,44,4,HN,6.3,4,65.65
25/04/2024,713,F2,240,41,2,HN,5.82,5,99.7
21/04/2024,583,M1,111,50,7,HE,7.82,4,88.21
21/04/2024,774,F2,118,21,1,HN,3.89,3,129.32
15/04/2024,730,M1,73,91,3,HN,3.43,2,32.72
18/04/2024,895,F2,158,83,6,HN,3.43,5,81.37
15/04/2024,497,M1,51,20,2,HE,5.72,4,93.64
07/04/2024,97,F3,97,3,1,HN,6.72,1,115.29
14/04/2024,911,M1,250,67,5,HE,6.63,2,12.95
22/04/2024,751,F3,39,96,5,HE,4.68,2,45.63
09/04/2024,129,F2,101,66,2,HE,3.51,1,27.43
05/04/2024,327,M1,208,44,2,HN,4.98,5,131.99
06/04/2024,29,F2,204,19,1,HE,5.69,5,132.97
24/04/2024,123,F3,38,71,2,HE,5.19,3,129.04
16/04/2024,72,F2,201,60,4,HN,7.01,3,62.71
07/04/2024,582,M1,17,34,3,HN,3.0,5,118.24
02/04/2024,165,F3,33,44,6,HN,5.71,5,92.6
10/04/2024,133,F3,101,17,7,HE,2.56,1,99.25
10/04/2024,65,F2,102,5,7,HN,1.51,3,73.77
13/04/2024,692,M1,76,21,4,HE,5.94,5,144.85
