data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
01/10/2023,767,F3,69,92,2,HE,2.72,1,21.34
20/10/2023,147,F3,83,75,3,HE,7.32,4,5.31
06/10/2023,583,F2,216,81,6,HE,4.7,1,78.62
14/10/2023,213,F2,200,6,4,HN,7.2,4,62.49
08/10/2023,233,F3,4,70,6,HN,5.92,2,61.13
15/10/2023,723,F3,39,86,3,HN,6.81,1,49.53
09/10/2023,274,M1,240,49,3,HN,6.08,3,67.02
26/10/2023,786,M1,122,44,5,HN,7.92,4,108.66
27/10/2023,333,F3,25,1,5,HN,4.28,3,8.79
23/10/2023,118,M1,138,90,3,HE,7.8,2,97.31
13/10/2023,929,F3,62,74,7,HN,7.26,5,105.98
11/10/2023,54,F2,42,29,5,HN,6.75,4,136.52
10/10/2023,908,M1,83,78,2,HN,3.72,3,101.76
02/10/2023,180,F3,200,20,2,HN,1.26,3,77.05
10/10/2023,491,M1,156,80,5,HN,4.55,1,34.64
07/10/2023,940,F2,1,46,2,HN,1.08,5,75.79
08/10/2023,889,F2,234,76,2,HE,3.19,1,16.12
14/10/2023,621,M1,58,88,4,HN,6.85,2,24.77
14/10/2023,43,F2,79,16,3,HN,4.7,3,137.2
24/10/2023,651,F3,61,81,7,HE,1.11,4,84.26
16/10/2023,705,M1,193,79,4,HN,7.43,2,21.35
18/10/2023,574,F3,198,73,7,HE,7.42,3,81.39
03/10/2023,392,F3,54,3,2,HN,5.23,4,18.46
19/10/2023,586,F2,209,13,3,HN,1.38,1,52.76
22/10/2023,577,F3,4,69,2,HN,5.56,4,7.14
10/10/2023,436,M1,142,47,5,HN,5.87,5,104.93
19/10/2023,152,M1,30,18,5,HE,5.04,4,75.59
15/10/2023,934,F3,158,81,3,HE,4.9,2,109.6
18/10/2023,190,F2,9,21,4,HN,6.56,3,66.36
28/10/2023,10,M1,100,74,3,HE,2.89,5,67.74
02/10/2023,697,F3,218,18,3,HE,7.77,2,58.25
23/10/2023,83,M1,45,18,4,HE,7.89,5,40.3
13/10/2023,721,M1,58,18,2,HN,1.89,4,22.31
10/10/2023,648,F2,15,96,5,HE,4.71,1,30.65
02/10/2023,188,F3,2,96,6,HN,7.92,1,64.88
10/10/2023,647,F2,83,52,5,HN,5.75,4,127.31
14/10/2023,914,F3,59,31,2,HN,1.07,5,70.44
23/10/2023,91,F3,146,85,3,HE,4.31,2,109.92
28/10/2023,728,F3,214,76,2,HN,5.16,3,2.31
27/10/2023,766,F3,50,73,7,HN,2.2,4,83.15
19/10/2023,803,F2,147,4,4,HE,6.07,1,84.9
24/10/2023,74,M1,208,21,7,HN,1.5,1,54.46
15/10/2023,640,F3,149,81,2,HE,4.54,5,100.34
14/10/2023,713,M1,246,53,2,HE,1.69,2,130.81
01/10/2023,462,F2,46,91,6,HE,1.59,2,120.61
26/10/2023,710,M1,235,42,4,HE,4.08,2,132.89
26/10/2023,571,M1,89,60,3,HN,5.39,3,18.75
19/10/2023,184,F3,89,28,2,HN,1.6,4,144.72
08/10/2023,145,M1,36,48,7,HE,6.65,5,101.42
06/10/2023,639,F2,99,65,4,HN,5.52,3,116.06
08/10/2023,712,M1,68,99,2,HN,5.69,2,147.74
06/10/2023,807,F2,141,77,4,HN,1.58,4,40.52
04/10/2023,149,M1,86,54,3,HE,3.4,3,58.93
27/10/2023,330,F3,160,25,5,HE,6.72,5,58.63
09/10/2023,517,F3,226,76,4,HN,2.6,5,106.86
