data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
16/05/2023,873,F3,116,25,2,HN,6.35,5,125.56
03/05/2023,212,M1,51,64,4,HE,2.51,2,32.04
12/05/2023,774,M1,245,71,5,HE,4.79,2,100.41
27/05/2023,903,F2,163,75,7,HN,1.91,5,10.73
11/05/2023,60,F2,168,54,6,HN,5.4,4,38.2
18/05/2023,39,M1,94,34,3,HE,2.62,5,7.14
22/05/2023,435,F2,178,40,7,HE,5.96,4,11.96
20/05/2023,932,F3,150,58,3,HN,1.92,3,23.44
23/05/2023,935,M1,83,80,5,HN,4.98,5,1.9
21/05/2023,225,F3,75,68,7,HE,3.28,5,12.47
12/05/2023,263,F3,177,14,5,HE,5.51,2,106.68
11/05/2023,589,F2,110,48,4,HN,4.06,2,138.7
09/05/2023,725,F2,189,54,6,HE,2.42,3,116.47
01/05/2023,367,F2,150,1,2,HN,2.88,1,65.74
16/05/2023,398,F2,174,29,1,HN,3.8,5,35.42
12/05/2023,491,M1,133,72,3,HE,6.64,4,30.21
29/05/2023,92,F3,11,68,6,HN,3.47,3,122.24
24/05/2023,599,F3,204,71,1,HE,5.08,3,93.12
08/05/2023,562,F3,193,79,7,HE,2.97,2,112.33
02/05/2023,304,F3,43,45,5,HN,3.32,5,73.19
21/05/2023,379,M1,168,96,4,HN,5.72,2,62.09
23/05/2023,115,F2,33,64,1,HN,3.88,1,13.43
14/05/2023,657,F2,31,5,4,HE,4.86,4,129.67
18/05/2023,194,F2,162,67,6,HE,5.01,2,23.28
05/05/2023,72,F2,63,74,4,HE,1.82,5,35.92
19/05/2023,332,F3,82,12,4,HN,6.51,5,82.63
23/05/2023,335,M1,112,66,3,HE,5.42,3,139.56
07/05/2023,535,F3,83,76,6,HE,4.5,5,76.21
21/05/2023,650,F3,76,37,5,HE,1.14,2,77.8
05/05/2023,52,F2,111,38,4,HE,6.89,4,149.65
06/05/2023,803,F3,13,88,6,HE,5.75,1,118.14
11/05/2023,154,F2,128,44,3,HE,7.93,2,141.77
26/05/2023,863,F2,206,4,4,HE,4.33,1,4.23
06/05/2023,899,M1,8,95,5,HE,4.77,3,88.34
19/05/2023,744,F2,106,71,3,HN,7.16,2,38.72
15/05/2023,42,F2,90,10,3,HE,6.08,5,26.83
05/05/2023,637,M1,129,13,3,HE,1.05,3,12.83
13/05/2023,128,F2,102,43,3,HE,3.16,3,13.21
06/05/2023,244,F3,119,54,2,HE,4.51,3,74.71
14/05/2023,670,F2,234,27,6,HE,5.72,4,128.85
07/05/2023,243,F3,134,10,7,HE,5.84,2,42.41
25/05/2023,275,F2,171,54,6,HN,4.58,3,42.37
17/05/2023,929,M1,160,91,5,HN,2.31,2,140.55
01/05/2023,408,M1,74,4,2,HE,5.89,5,7.28
09/05/2023,922,F2,172,65,2,HE,1.71,3,37.18
23/05/2023,68,M1,144,42,4,HE,3.88,1,41.22
12/05/2023,21,F2,170,3,3,HN,7.58,5,51.93
10/05/2023,242,F2,53,85,3,HE,2.16,1,78.08
05/05/2023,407,M1,133,73,2,HN,7.19,2,44.12
01/05/2023,767,F3,183,77,1,HE,3.4,2,65.62
10/05/2023,542,F2,7,15,6,HN,4.96,1,114.02
18/05/2023,472,F2,136,44,2,HN,3.53,1,17.94
