data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
23/03/2024,589,F2,227,55,1,HN,5.35,5,19.58
07/03/2024,565,M1,150,93,6,HE,4.77,3,132.56
22/03/2024,712,M1,8,23,6,HE,4.1,4,58.22
18/03/2024,282,F2,234,18,1,HE,2.2,3,18.91
04/03/2024,29,F2,46,27,6,HE,7.53,4,84.33
15/03/2024,373,M1,211,69,7,HE,5.92,2,35.66
18/03/2024,887,M1,95,69,3,HN,7.96,2,5.07
24/03/2024,553,F3,61,78,1,HE,3.23,4,132.72
03/03/2024,740,M1,92,5,4,HN,2.15,1,34.97
02/03/2024,153,F2,125,1,6,HN,4.22,2,94.22
13/03/2024,282,F3,63,35,7,HE,1.67,1,36.37
20/03/2024,729,M1,117,2,4,HN,2.27,5,19.61
16/03/2024,266,F2,242,30,3,HN,5.77,5,147.53
12/03/2024,212,F2,74,80,1,HN,2.69,3,12.43
16/03/2024,86,F2,34,7,6,HN,3.03,3,53.92
10/03/2024,407,F3,135,94,1,HN,2.53,5,118.28
07/03/2024,102,F2,57,65,3,HN,4.98,1,90.58
17/03/2024,133,F3,241,47,3,HE,2.21,1,34.35
21/03/2024,134,M1,62,90,7,HN,3.49,4,91.6
25/03/2024,27,F2,67,37,5,HN,6.44,5,143.73
04/03/2024,441,M1,132,71,7,HN,7.91,2,133.75
10/03/2024,184,F2,5,39,2,HN,5.97,3,3.15
14/03/2024,350,F2,43,76,6,HN,7.88,2,11.5
07/03/2024,31,M1,126,92,3,HN,2.41,2,57.6
05/03/2024,489,F2,176,18,5,HE,4.61,2,8.33
09/03/2024,410,M1,33,95,4,HN,4.87,2,89.93
02/03/2024,175,M1,59,80,2,HN,4.81,5,50.39
18/03/2024,250,M1,226,88,6,HN,6.58,5,40.9
27/03/2024,325,F2,58,2,1,HE,1.78,5,103.45
15/03/2024,627,F3,248,38,6,HN,3.49,3,64.0
03/03/2024,657,F3,85,84,7,HN,1.38,4,142.02
24/03/2024,116,F2,245,50,6,HN,3.35,3,38.58
28/03/2024,630,M1,182,33,6,HN,1.35,4,145.18
05/03/2024,746,M1,104,48,5,HE,4.27,1,22.59
23/03/2024,852,F2,117,14,7,HN,6.37,3,77.32
03/03/2024,712,F3,179,49,4,HE,5.2,4,43.85
13/03/2024,247,F3,233,45,2,HE,4.44,4,99.08
02/03/2024,219,F2,234,35,7,HN,7.6,3,117.29
22/03/2024,665,F2,233,52,6,HE,2.3,3,122.03
01/03/2024,256,M1,210,71,4,HN,6.36,1,111.84
08/03/2024,311,F3,160,46,3,HE,5.0,1,87.77
24/03/2024,210,F3,44,39,6,HN,5.1,2,129.96
05/03/2024,845,M1,201,80,7,HN,6.21,2,138.28
06/03/2024,258,F2,205,5,2,HN,3.45,2,88.41
12/03/2024,286,F2,35,100,4,HE,3.32,5,113.86
23/03/2024,419,F2,61,81,4,HE,3.27,2,15.2
19/03/2024,361,F2,50,84,1,HE,4.25,5,126.64
20/03/2024,777,F3,5,38,4,HN,6.91,3,1.99
24/03/2024,899,F2,64,20,5,HE,3.16,5,70.98
17/03/2024,581,F2,161,96,2,HE,3.36,2,136.67
19/03/2024,860,F2,191,69,6,HE,2.84,1,33.64
18/03/2024,358,F2,132,95,5,HE,4.64,5,13.96
26/03/2024,569,F3,102,89,6,HN,4.12,2,111.34
04/03/2024,738,M1,81,4,2,HN,1.92,3,70.44
01/03/2024,945,M1,115,52,1,HN,2.44,4,19.37
21/03/2024,936,F2,51,100,4,HE,5.29,5,67.49
16/03/2024,631,M1,51,26,5,HN,6.21,2,78.22
