data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
15/02/2024,136,F2,83,27,1,HE,3.09,2,37.48
15/02/2024,514,F2,217,94,6,HN,2.38,3,60.76
20/02/2024,903,F2,61,39,5,HE,5.11,5,95.77
04/02/2024,61,F2,135,64,4,HN,7.06,1,1.9
07/02/2024,10,F3,96,11,1,HE,7.27,3,135.18
10/02/2024,198,F2,145,93,4,HN,4.13,3,81.14
09/02/2024,820,F2,223,5,7,HE,7.51,3,31.11
13/02/2024,552,F3,129,10,6,HN,1.76,4,121.5
26/02/2024,744,F2,140,72,7,HE,7.14,5,80.11
09/02/2024,596,F2,22,25,1,HE,3.77,2,19.77
07/02/2024,953,M1,77,22,7,HE,1.67,4,145.82
07/02/2024,920,F3,225,65,1,HE,7.21,1,131.39
21/02/2024,245,F2,249,26,3,HE,5.13,5,103.17
03/02/2024,601,M1,158,19,7,HN,4.13,2,147.45
23/02/2024,299,M1,134,34,6,HN,3.87,5,62.09
08/02/2024,65,M1,172,83,2,HN,7.54,1,61.83
12/02/2024,417,F2,233,63,3,HE,1.69,2,131.89
14/02/2024,547,F3,165,9,1,HE,3.15,3,130.73
10/02/2024,815,F3,219,62,2,HN,1.89,2,81.92
12/02/2024,775,F2,204,68,1,HN,3.97,3,133.65
14/02/2024,865,F3,72,93,4,HE,3.67,2,18.11
06/02/2024,671,M1,105,13,6,HE,3.4,2,122.17
16/02/2024,890,F3,76,49,1,HN,6.0,4,19.94
14/02/2024,75,M1,235,33,2,HE,1.8,1,96.29
11/02/2024,866,F2,131,4,2,HE,7.83,1,77.14
20/02/2024,889,F3,191,6,4,HE,6.04,3,49.11
15/02/2024,136,F2,204,3,5,HE,3.86,5,62.34
26/02/2024,541,F2,43,94,5,HN,3.84,5,119.34
24/02/2024,480,F2,137,75,5,HN,3.35,3,50.03
21/02/2024,824,F2,52,56,6,HE,5.4,4,4.01
25/02/2024,678,F3,162,82,1,HE,3.09,3,119.58
08/02/2024,584,F3,141,63,7,HE,6.87,5,113.13
06/02/2024,37,F2,18,93,4,HE,2.21,2,41.79
05/02/2024,906,M1,177,84,3,HE,3.89,2,54.3
16/02/2024,642,F2,46,16,7,HE,4.17,4,10.29
07/02/2024,921,F2,169,35,5,HE,1.25,4,35.75
14/02/2024,627,F3,118,10,6,HE,5.86,1,130.15
08/02/2024,737,M1,198,57,4,HN,7.52,1,74.96
18/02/2024,390,M1,32,55,4,HN,7.05,1,142.25
27/02/2024,264,M1,224,51,6,HN,3.56,1,44.41
03/02/2024,880,F2,198,16,7,HN,5.23,4,96.24
08/02/2024,101,M1,60,93,4,HN,7.78,3,37.97
03/02/2024,651,M1,69,45,3,HN,5.72,4,117.55
18/02/2024,51,M1,16,1,3,HN,6.5,5,8.08
13/02/2024,64,M1,146,62,1,HE,2.7,2,133.67
01/02/2024,61,M1,33,7,2,HN,5.59,4,114.98
02/02/2024,2,F2,146,43,1,HE,5.18,1,91.74
06/02/2024,290,F2,197,7,1,HE,2.27,2,73.34
05/02/2024,388,F3,117,36,6,HN,5.41,3,47.54
11/02/2024,95,M1,85,60,4,HN,7.86,5,26.84
13/02/2024,829,F2,158,62,2,HN,6.54,4,53.64
04/02/2024,905,F2,185,43,7,HE,1.63,5,37.67
21/02/2024,645,F3,87,90,4,HE,2.24,5,26.71
01/02/2024,89,F3,161,35,1,HN,5.19,3,95.97
13/02/2024,93,F3,221,91,2,HN,3.95,3,57.96
13/02/2024,214,F2,156,77,5,HN,1.05,5,18.93
